ID	Speech	action_code	action_only	num_lines_before	num_lines_after	anno_before	anno_after	num_lines_last_mvmt	max_repeated_word	count_uppercase_words	period	comma	semicolon	hyphen	total_words	question	apostrophe	exclamation	big_action_only	speaker_action_only	speaker_big_action_only	speaker_action_code	WRB 	WPSS	WP 	WDT 	VBZ 	VBP 	VBN 	VBG 	VBD 	VB 	UH 	TO 	SYM 	RP 	RBS 	RBR 	RB 	PRPSS	PRP 	POS 	PDT 	NNS 	NNPS 	NNP 	NN 	MD 	LS 	JJS 	JJR 	JJ 	IN 	FW 	EX 	DT 	CD 	CC 	speakerpostn	numcharsonstage	BERNARDO	CORNELIUS	FRANCISCO	GHOST	GUILDENSTERN	HAMLET	HORATIO	KINGCLAUDIUS	LAERTES	LORDPOLONIUS	LUCIANUS	MARCELLUS	OPHELIA	OSRIC	PRINCEFORTINBRAS	QUEENGERTRUDE	REYNALDO	ROSENCRANTZ	VOLTIMAND	Random1	Random2	Random3	Random4	Random5	Random6	Random7	Random8	Random9	Random10	fight_in_general	point	look	run_walk_jog	handle_object	sit_stand_lie_down_kneel	gestures	new_big_actions	neg_big_actions	sortbig	sortany	sortwalk	sortfight	sortpoint	sortlook	sorthandle	sortposture	sortgesture	sortbig_rand	sortany_rand	sortwalk_rand	sortfight_rand	sortpoint_rand	sortlook_rand	sorthandle_rand	sortposture_rand	sortgesture_rand	firstpos	secondpos	thirdpos	fourthpos	fifthpos	sixthpos	seventhpos	eighthpos	ninethpos	tenthpos	eleventhpos	twelfthpos	thirteenthpos	fourteenthpos	fifteenthpos	POS_sentence
1366	"Run barefoot up and down, threatening the flames"	0	0	2	14	0	0	1	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1																						40	4139	2175	606	3251	820	4583	2261	2810	2879	0	0	0	0	0	0	0	0	-1	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	VB	RB	RB	CC	RB	VBG	DT	NNS								VB RB RB CC RB VBG DT NNS       
1367	With bisson rheum; a clout upon that head	0	0	3	13	0	0	2	2	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	2	0	0																						4110	988	1974	1492	2678	4443	2251	2860	2777	423	0	0	0	0	0	0	0	0	-1	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	4110	IN	NN	NN	DT	NN	IN	DT	NN								IN NN NN DT NN IN DT NN       
1368	"Where late the diadem stood, and for a robe,"	0	0	4	12	0	0	3	2	0	0	2	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	1																						4346	1372	4239	4697	1269	4497	140	4315	3622	1811	0	0	0	0	0	0	0	0	-1	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	4346	WRB	RB	DT	NN	VBD	CC	IN	DT	NN							WRB RB DT NN VBD CC IN DT NN      
1369	"About her lank and all o''er-teemed loins,"	0	0	5	11	0	0	4	2	0	0	1	0	1	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	1																						4776	107	2542	3977	4936	2984	625	1826	2511	2417	0	0	0	0	0	0	0	0	-1	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	IN	PRP$	NN	CC	DT	JJ	NN									IN PRP$ NN CC DT JJ NN        
1370	"A blanket, in the alarm of fear caught up;"	0	0	6	10	0	0	5	2	0	0	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	2	0	0																						257	4039	530	4019	4937	1153	1349	1729	2012	717	0	0	0	0	0	0	0	0	-1	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	257	DT	NN	IN	DT	NN	IN	NN	VBN	IN							DT NN IN DT NN IN NN VBN IN      
1371	"Who this had seen, with tongue in venom steep''d,"	0	0	7	9	0	0	6	2	0	0	2	0	0	9	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0																						421	763	2903	2829	1176	4636	1060	4985	3296	2567	0	0	0	0	0	0	0	0	-1	421	421	421	421	421	421	421	421	421	421	421	421	421	421	421	421	421	421	WP	DT	VBD	VBN	IN	NN	IN	NN	NN							WP DT VBD VBN IN NN IN NN NN      
1372	Gainst Fortune''s state would treason have	0	0	8	8	0	0	7	2	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0																						2609	527	391	3172	777	1209	93	2121	2505	1420	0	0	0	0	0	0	0	0	-1	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	2609	IN	NNPS	NN	MD	RB	VB										IN NNPS NN MD RB VB         
1373	pronounced:	0	0	9	7	0	0	8	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						1158	2770	2791	1137	2705	76	467	1683	3294	4259	0	0	0	0	0	0	0	0	-1	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	NNS															NNS              
1374	But if the gods themselves did see her then	0	0	10	6	0	0	9	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1																						325	3137	3658	1031	4909	4595	2951	4599	4529	4432	0	0	0	0	0	0	0	0	-1	325	325	325	325	325	325	325	325	325	325	325	325	325	325	325	325	325	325	CC	IN	DT	NNS	PRP	VBD	VB	PRP	RB							CC IN DT NNS PRP VBD VB PRP RB      
1375	When she saw Pyrrhus make malicious sport	0	0	11	5	0	0	10	2	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0																						3516	3686	2272	3424	557	3905	1256	720	1141	4345	0	0	0	0	0	0	0	0	-1	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	3516	WRB	PRP	VBD	RB	VB	JJ	NN									WRB PRP VBD RB VB JJ NN        
1376	"In mincing with his sword her husband''s limbs,"	0	0	12	4	0	0	11	2	0	0	1	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0																						3087	2790	3504	3321	4154	4635	3594	4143	2054	1430	0	0	0	0	0	0	0	0	-1	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	3087	IN	NN	IN	PRP$	NN	PRP	NN	NN								IN NN IN PRP$ NN PRP NN NN       
1377	"The instant burst of clamour that she made,"	0	0	13	3	0	0	12	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	2	0	0	1	0	0																						185	3912	3685	4360	392	206	2003	4517	789	1077	0	0	0	0	0	0	0	0	-1	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	DT	JJ	NN	IN	NN	IN	PRP	MD								DT JJ NN IN NN IN PRP MD       
1378	"Unless things mortal move them not at all,"	0	0	14	2	0	0	13	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	1	2	0	0	0	0	0																						4100	2905	1796	4496	1826	3288	4544	620	2306	4481	0	0	0	0	0	0	0	0	-1	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	4100	IN	NNS	JJ	NN	PRP	RB	IN	NNS								IN NNS JJ NN PRP RB IN NNS       
1379	"Would have made milch the burning eyes of heaven,"	0	0	15	1	0	0	14	2	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	0	0	1	0	0																						1860	2968	2278	1841	2202	490	446	3890	910	487	0	0	0	0	0	0	0	0	-1	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	1860	MD	VB	VBN	NN	DT	VBG	NNS	IN	NN							MD VB VBN NN DT VBG NNS IN NN      
1380	And passion in the gods.''	0	0	16	0	0	0	15	2	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1																						1965	1926	1435	2283	4450	2219	1060	118	3219	1739	0	0	0	0	0	0	0	0	-1	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	CC	NN	IN	DT	NN											CC NN IN DT NN          
1381	"Look, whether he has not turned his colour and has"	10	0	0	1	0	0	16	2	0	0	1	0	0	10	0	0	0	1	0	1	10	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1																						4097	1834	2872	2116	1177	4211	2061	1093	4795	4515	0	1	0	0	0	0	1	1	1	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	4097	VB	IN	PRP	VBZ	RB	VBN	PRP$	NN	CC	VBZ						VB IN PRP VBZ RB VBN PRP$ NN CC VBZ     
1382	"tears in''s eyes. Pray you, no more."	0	0	1	0	0	0	0	2	0	2	1	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0																						1896	190	2803	378	3385	4651	3566	4149	3329	1607	0	0	0	0	0	0	0	0	-1	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	1896	NNS	IN	VBG	NNP	","	DT	RBR									"NNS IN VBG NNP , DT RBR        "
1383	Tis well: I''ll have thee speak out the rest soon.	23	1	0	5	0	0	1	2	0	1	0	0	0	10	0	1	0	1	1	1	23	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0																						339	1346	2738	254	1126	1513	203	85	232	2416	0	0	1	0	0	0	0	0	-1	339	-1	339	339	339	-1	339	339	339	339	486	339	339	339	315	339	339	339	NNPS	RB	NNP	VBP	PRP	VB	RP	DT	NN	.						NNPS RB NNP VBP PRP VB RP DT NN .     
1384	"Good my lord, will you see the players well"	0	0	1	4	0	0	0	2	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0																						3747	3554	4795	2233	3110	2227	3206	1598	1236	1723	0	0	0	0	0	0	0	0	-1	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	3747	NNP	PRP$	NN	MD	PRP	VB	DT	NNS	RB							NNP PRP$ NN MD PRP VB DT NNS RB      
1385	"bestowed? Do you hear, let them be well used; for"	0	0	2	3	0	0	1	2	0	0	1	1	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0																						2693	2427	1820	5000	4612	55	1166	1584	3848	215	0	0	0	0	0	0	0	0	-1	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	2693	RB	VBP	PRP	VB	VB	PRP	VB	RB	VBN	IN						RB VBP PRP VB VB PRP VB RB VBN IN     
1386	they are the abstract and brief chronicles of the	0	0	3	2	0	0	2	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	1																						4966	697	3764	4636	3053	3158	185	951	2542	2542	0	0	0	0	0	0	0	0	-1	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	4966	PRP	VBP	DT	JJ	CC	JJ	NNS	IN	DT							PRP VBP DT JJ CC JJ NNS IN DT      
1387	time: after your death you were better have a bad	0	0	4	1	0	0	3	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0																						1299	1837	118	4851	4911	2984	1308	1826	1551	612	0	0	0	0	0	0	0	0	-1	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	NN	IN	PRP$	NN	PRP	VBD	RB	VB	DT	JJ						NN IN PRP$ NN PRP VBD RB VB DT JJ     
1388	epitaph than their ill report while you live.	0	0	5	0	0	0	4	2	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	2	0	0	0	0	0																						314	642	410	730	2808	2669	3438	3799	1819	3865	0	0	0	0	0	0	0	0	-1	314	314	314	314	314	314	314	314	314	314	314	314	314	314	314	314	314	314	NN	IN	PRP$	JJ	NN	IN	PRP	MD								NN IN PRP$ JJ NN IN PRP MD       
1389	"My lord, I will use them according to their desert."	19	1	0	0	0	0	5	2	1	1	1	0	0	10	0	0	0	1	1	1	19	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0																						2835	4022	3581	768	3945	4776	993	3183	1562	1089	0	0	0	0	0	1	0	0	-1	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	2835	PRP$	NN	PRP	MD	VB	PRP	VBG	TO	PRP$	NN						PRP$ NN PRP MD VB PRP VBG TO PRP$ NN     
1390	"God''s bodykins, man, much better: use every man"	21	1	0	4	0	0	0	2	0	0	2	0	0	8	0	1	0	1	1	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	1	0	0																						2695	914	3800	4375	2495	3686	2739	1925	651	864	0	0	0	0	0	0	1	1	1	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	2695	NNP	NN	NN	RB	JJR	NN	DT	NN								NNP NN NN RB JJR NN DT NN       
1391	"after his desert, and who should ''scape whipping?"	0	0	1	3	0	0	0	2	0	0	1	0	0	8	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1																						1233	2161	1185	4676	942	2782	1890	1409	3227	1504	0	0	0	0	0	0	0	0	-1	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	1233	IN	PRP$	NN	CC	WP	MD	VB	.								IN PRP$ NN CC WP MD VB .       
1392	Use them after your own honour and dignity: the less	0	0	2	2	0	0	1	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1																						4562	3845	4509	2039	3058	2553	255	1886	4030	1216	0	0	0	0	0	0	0	0	-1	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	4562	VB	PRP	IN	PRP$	JJ	NN	CC	VB	DT	RBR						VB PRP IN PRP$ JJ NN CC VB DT RBR     
1393	"they deserve, the more merit is in your bounty."	0	0	3	1	0	0	2	2	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0																						3166	3228	4234	3587	3391	3068	2282	4418	1496	4195	0	0	0	0	0	0	0	0	-1	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	3166	PRP	VBP	DT	JJR	NN	VBZ	IN	PRP$	NN							PRP VBP DT JJR NN VBZ IN PRP$ NN      
1394	Take them in.	0	0	4	0	0	0	0	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						2368	1244	4674	1235	2347	1445	3377	915	323	343	0	0	0	0	0	0	0	0	-1	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	2368	VB	PRP	.													VB PRP .            
1395	"Come, sirs."	0	0	0	0	0	0	1	2	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																						4922	1299	2492	544	1215	1071	1890	4842	3501	4974	0	0	0	0	0	0	0	0	-1	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	4922	NNP	.														NNP .             
1396	"Follow him, friends: we''ll hear a play to-morrow."	23	1	0	0	0	1	2	2	0	1	1	0	1	8	0	1	0	1	1	1	23	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0																						2665	2298	4371	720	1104	4429	3997	4421	1997	409	0	0	1	0	0	0	0	0	-1	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	2665	VB	NN	NNS	MD	VB	DT	NN	.								VB NN NNS MD VB DT NN .       
1397	"Dost thou hear me, old friend; can you play the"	0	0	0	3	1	0	0	2	0	0	1	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	2	0	0	0	1	0	0																						1488	3190	974	3893	4596	2520	1150	2582	1742	4974	0	0	0	0	0	0	0	0	-1	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	1488	NNP	NNS	VBP	JJ	JJ	NN	MD	PRP	VB	DT						NNP NNS VBP JJ JJ NN MD PRP VB DT     
1398	Murder of Gonzago?	0	0	1	2	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0																						2075	3924	1442	1231	1535	1691	784	3579	1560	1456	0	0	0	0	0	0	0	0	-1	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	NN	IN	VBG													NN IN VBG            
1399	First Player	0	0	2	1	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																						1031	4741	511	15	4015	4343	2142	2913	1032	815	0	0	0	0	0	0	0	0	-1	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	RB	NNP														RB NNP             
1400	"Ay, my lord."	24	1	3	0	0	0	2	2	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						1051	2936	2232	2041	1541	375	3775	944	4135	1007	0	0	0	0	0	0	0	0	-1	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	1051	NNP	PRP$	NN													NNP PRP$ NN            
1401	"We''ll ha''t to-morrow night. You could, for a need,"	14	1	0	4	0	0	0	2	0	1	2	0	1	9	0	2	0	1	1	1	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	1	1	0	0	1	0	0																						2132	1506	2674	4721	2566	2133	4168	3005	4149	3963	0	0	0	0	0	1	0	1	1	-1	-1	2132	2132	2132	2132	2132	-1	2132	877	157	2132	2132	2132	2132	2132	367	2132	NNP	VBD	JJ	NN	PRP	MD	IN	DT	NN							NNP VBD JJ NN PRP MD IN DT NN      
1402	"study a speech of some dozen or sixteen lines, which"	0	0	1	3	0	0	0	2	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	1	1																						3491	3829	1370	1547	3486	771	948	2010	2978	4310	0	0	0	0	0	0	0	0	-1	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	3491	VB	DT	NN	IN	DT	NN	CC	CD	NNS	WDT						VB DT NN IN DT NN CC CD NNS WDT     
1403	"I would set down and insert in''t, could you not?"	0	0	2	2	0	0	1	2	0	0	1	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1																						2499	459	125	2079	2277	98	1199	4975	1870	655	0	0	0	0	0	0	0	0	-1	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	2499	PRP	MD	VB	RP	CC	NN	NN	MD	PRP	.						PRP MD VB RP CC NN NN MD PRP .     
1404	First Player	0	0	3	1	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																						1158	2896	2611	3879	3942	4039	1355	285	2898	4	0	0	0	0	0	0	0	0	-1	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	1158	RB	NNP														RB NNP             
1405	"Ay, my lord."	23	1	4	0	0	0	3	2	0	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						967	380	447	4981	106	3648	2674	2253	2428	743	0	0	0	0	0	0	0	0	-1	967	967	967	967	967	967	967	967	967	967	967	967	967	967	967	967	967	967	NNP	PRP$	NN													NNP PRP$ NN            
1406	Very well. Follow that lord; and look you mock him	23	1	0	1	0	0	0	2	0	1	0	1	0	10	0	0	0	1	1	1	23	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1																						3532	865	4379	757	1964	704	2727	3025	2165	4515	0	0	1	0	0	0	0	0	-1	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	3532	RB	RB	VB	IN	JJ	CC	VB	PRP	VB	PRP						RB RB VB IN JJ CC VB PRP VB PRP     
1407	not.	0	0	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						3980	1633	1877	3469	579	73	3646	2794	4823	3075	0	0	0	0	0	0	0	0	-1	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	3980	.															.              
1408	"My good friends, I''ll leave you till night: you are"	0	0	0	1	1	0	1	2	0	0	1	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1																						1787	403	3437	3718	1324	4764	4519	4009	974	3062	0	0	0	0	0	0	0	0	-1	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	1787	PRP$	JJ	NN	CC	VB	PRP	IN	NNS	PRP	VBP						PRP$ JJ NN CC VB PRP IN NNS PRP VBP     
1409	welcome to Elsinore.	0	0	1	0	0	0	2	2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0																						4944	3933	2708	4502	292	1043	4380	2829	2745	4941	0	0	0	0	0	0	0	0	-1	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	4944	JJ	TO	NNP													JJ TO NNP            
1410	Good my lord!	17	1	0	0	0	0	3	2	0	0	0	0	0	3	0	0	1	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						3358	1604	914	312	1656	3297	769	599	3923	1459	0	0	0	1	0	0	0	0	-1	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	3358	NNP	PRP$	NN													NNP PRP$ NN            
1411	"Ay, so, God be wi'' ye;"	0	0	0	0	0	1	0	2	0	0	2	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0																						4656	59	2163	2700	1828	2435	3072	4474	4237	1071	0	0	0	0	0	0	0	0	-1	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	4656	NNP	NN	NNP	VB	VBN	.										NNP NN NNP VB VBN .         
1412	Now I am alone.	13	1	0	58	1	0	0	2	1	1	0	0	0	4	0	0	0	1	1	1	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						13	3010	4812	4543	184	4961	383	1142	2653	379	0	0	0	0	0	1	0	1	1	-1	-1	13	13	13	13	13	-1	13	804	1669	13	13	13	13	13	323	13	RB	PRP	VBP	RB												RB PRP VBP RB           
1413	"O, what a rogue and peasant slave am I!"	0	0	1	57	0	0	0	2	1	0	1	0	0	9	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1																						3708	1766	242	517	4727	4022	933	2595	2361	2777	0	0	0	0	0	0	0	0	-1	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	3708	RB	WP	DT	NN	CC	NN	NN	VBP	.							RB WP DT NN CC NN NN VBP .      
